,Trajectory,Time,blast_L_crispatus,blast_L_iners,blast_L_gasseri,blast_L_jensenii,blast_L_other,blast_Gardnerella_spp,blast_Streptococcus_spp,blast_Atopobium_spp,blast_Prevotella_spp,blast_Bergeyella_spp,blast_Corynebacterium_spp,blast_Finegoldia_spp,blast_Sneathia_spp,blast_Dialister_spp,blast_Other
97,7,45,0.0,0.637066588,0.0,0.0,0.004334121,0.0,0.201241135,0.0,0.002807329,0.0,0.0,0.0,0.0,0.0,0.154550827
98,7,46,0.0,0.649018738,0.0,0.0,0.064696751,0.0,0.063144473,0.000110877,0.000221754,0.0,0.017407695,0.006319991,0.0,0.0,0.199079721
99,7,47,0.0,0.761038961,0.0,0.0,0.074747475,0.0,0.041616162,0.0,0.001500722,0.0,0.001558442,0.0002886,0.0,0.0,0.119249639
100,7,48,0.001155568,0.507511195,0.0,0.0,0.0,0.0,0.295681063,0.0,0.0,0.0,0.0,0.000216669,0.0,0.0,0.195435505
101,8,50,0.0,0.674759058,0.006831768,0.0,0.0,0.0,0.175796023,0.0,0.001097963,0.0,0.000609979,0.000975967,0.0,0.0,0.139929242
102,8,51,0.000634276,0.637384245,0.002917671,0.0,0.009641,0.0,0.126030699,0.0,0.01496892,0.0,0.018140302,0.031713815,0.0,0.0,0.158569073
103,8,52,0.0,0.396069387,0.0,0.0,0.007971523,0.0,0.132106688,0.000601624,0.160583576,0.0,0.009375313,0.070841271,0.0,0.005615161,0.216835456
104,9,54,0.0,0.681173341,0.050391606,0.0,0.032067386,0.0,0.047066647,0.001625536,0.050539382,0.0,0.001256096,0.01063987,0.0,0.004802719,0.120437417
105,9,55,0.004211405,0.459460485,0.010016314,0.0,0.033805061,0.0,0.010699245,0.003035247,0.21986569,0.0,0.013393027,0.074363547,0.0,0.016124749,0.15502523
106,9,56,0.002309599,0.718454259,0.011942316,0.0,0.13705498,0.0,0.048726904,0.0,0.018533123,0.0,0.00067598,0.003154574,0.0,0.002478594,0.056669671
107,10,58,0.000956328,0.718393369,0.007714377,0.0,0.079056423,0.0,0.119732228,0.0,0.000446286,0.0,0.000191266,0.0,0.0,0.0,0.073509723
108,10,59,0.000625498,0.543898556,0.001592176,0.0,0.077959741,0.00017059,0.156203798,0.000113727,0.001933356,0.0,0.008472649,0.000454907,0.0,0.0,0.208575003
109,11,67,0.002307088,0.695709798,0.073041429,0.0,0.172148046,0.0,0.001129001,0.0,0.003976046,0.0,0.02081288,0.005006872,0.0,0.0,0.02586884
110,12,1,0.003010259,0.846952113,0.00831782,0.0,0.0,0.000158435,0.08999089,0.0,0.0,0.0,0.000475304,0.000277261,0.0,0.0,0.050817919
111,12,2,0.003016288,0.952285197,0.014334549,0.0,0.0,0.0,0.005228232,0.0,0.0,0.0,0.000172359,0.000114906,0.0,0.0,0.024848467
112,12,3,0.005082592,0.933220387,0.036048755,0.0,0.0,0.0,0.000611793,0.0,0.0,0.0,0.0,0.000188244,0.0,0.0,0.024848228
113,12,4,0.00249289,0.916014185,0.056739581,0.0,0.0,0.0,0.000351111,0.0,0.000245778,0.0,0.0,0.000140445,0.0,0.0,0.024016011
114,12,5,0.006408389,0.929973784,0.037576464,0.0,0.0,0.0,0.000815613,0.0,0.0,0.0,0.0,0.00029129,0.0,0.0,0.02493446
115,12,6,0.002090078,0.910085652,0.064054752,0.0,0.0,0.0,0.0,0.0,0.00020491,0.0,0.0,0.0,0.0,0.0,0.023564608
116,12,7,0.002843847,0.874224405,0.100051706,0.0,0.0,0.0,0.000258532,0.0,0.00045243,0.0,0.000129266,0.001421923,0.0,0.000258532,0.020359359
117,12,8,0.003638318,0.87406458,0.099764336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022532766
118,12,9,0.008807717,0.882182484,0.086018225,0.0,0.0,0.0,0.000305029,0.0,0.0,0.0,0.0,7.63e-05,0.0,0.0,0.022610287
119,12,10,0.005498433,0.849782812,0.119590917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025127839
120,13,12,0.002406325,0.905924143,0.069668844,0.0,0.0,0.0,0.000267369,0.0,0.0,0.0,0.0,0.000305565,0.0,0.0,0.021427753
121,13,13,0.003788229,0.946087037,0.002171302,0.0,0.0,0.0,0.015383905,0.0,0.000692969,0.0,0.000323385,0.0,0.0,0.000415781,0.031137393
122,13,14,0.002773998,0.96393803,0.003297393,0.0,0.0,0.0,0.001151471,0.0,0.0,0.0,0.000628075,0.0,0.0,0.0,0.028211033
123,13,15,0.011113753,0.958813741,0.002436705,0.0,0.0,0.0,0.000891477,0.0,0.000297159,0.0,0.0,0.000356591,0.0,0.0,0.026090574
124,13,16,0.001859971,0.964859838,0.006908463,0.0,0.0,0.0,0.00026571,0.0,0.000199283,0.0,0.000298924,0.000365351,0.0,0.0,0.02524246
125,13,17,0.001804747,0.970851636,0.00241768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000272415,0.000238363,0.0,0.0,0.02441516
126,13,18,0.00105911,0.968427079,0.00031487,0.0,0.0,0.0,0.000171748,0.0,0.001087734,0.0,0.000830113,0.0017461,0.0,0.000257621,0.026105625
127,13,19,0.002313522,0.970602314,0.00095732,0.0,0.0,0.0,0.000398883,0.0,0.00047866,0.0,0.0,0.000119665,0.0,0.0,0.025129637
128,13,20,0.001586075,0.972752044,0.0,0.0,0.0,0.0,8.13e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025580544
129,13,21,0.002368178,0.971655874,0.000370028,0.0,0.0,0.0,0.000814061,0.0,0.000259019,0.0,0.0,0.0,0.0,0.0,0.02453284
130,13,22,0.002113552,0.972979693,0.000663075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29e-05,0.0,0.0,0.024160796
131,13,23,0.002420873,0.962655788,0.001927732,0.0,0.0,0.0,0.005021071,0.0,0.00044831,0.0,0.000268986,0.000403479,0.0,8.97e-05,0.026764099
132,13,24,0.004608033,0.968540221,0.001308454,0.0,0.0,0.0,0.000455114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025088178
133,13,25,0.008091168,0.965204179,0.000835708,0.0,0.0,0.0,0.001025641,0.0,0.0,0.0,0.000151947,0.0,0.0,0.0,0.024691358
134,13,26,0.006030151,0.959061977,0.002881072,0.0,0.0,0.0,0.000536013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031490787
135,13,27,0.0,0.81187577,0.007388152,0.0,0.0,0.0,0.06731427,0.0,0.000684088,0.0,0.009714051,0.022574908,0.0,0.0,0.080448762
136,13,28,0.109670448,0.362506753,0.008643976,0.0,0.0,0.0,0.333333333,0.0,0.020529444,0.0,0.005402485,0.036736899,0.0,0.002160994,0.121015667
137,14,30,0.033504765,0.659279988,0.000831947,0.0,0.0,0.008243836,0.200952957,0.0,0.014823779,0.0,0.0,0.003781576,0.0,0.001588262,0.076992891
138,15,33,0.00086966,0.961436026,0.0,0.0,0.0,0.005054897,0.001576258,0.0,0.003315578,0.0,8.15e-05,0.000625068,0.0,0.0,0.027040983
139,16,35,0.000674783,0.973767818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025557399
140,16,36,0.005077234,0.968934211,0.000473301,0.0,0.0,0.000301192,0.0,0.0,0.0,0.0,0.000129082,0.000645411,0.0,0.000215137,0.024224431
141,16,37,0.001510021,0.972773863,0.0,0.0,0.0,0.0,0.000137275,0.0,0.0,0.0,0.0,9.15e-05,0.0,0.0,0.025487325
142,16,38,0.004988914,0.967849224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027161863
143,16,39,0.005062742,0.969768199,0.000687086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024481973
144,16,40,0.004445843,0.970256128,0.000826219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000275406,0.0,0.0,0.024196404
145,16,41,0.002176752,0.887119846,0.001679209,0.0,0.0,0.0,0.000995087,0.0,0.042850924,0.0,0.0,0.000248772,0.0,0.000995087,0.063934324
146,17,43,0.001877007,0.920128427,0.000592739,0.0,0.0,0.0,0.040454433,0.0,9.88e-05,0.0,0.00019758,0.000938503,0.0,0.00019758,0.035514942
147,18,45,0.002485343,0.969283711,0.002230436,0.0,0.0,0.0,0.0,0.0,0.000446087,0.0,0.0,0.0,0.0,0.0,0.025554423
148,18,46,0.003748707,0.96684333,0.001421923,0.0,0.0,0.0,0.0,0.0,0.002520683,0.0,0.0,0.0,0.0,0.000581696,0.024883661
149,18,47,0.003382116,0.966494927,0.003476942,0.0,0.0,0.0,0.000158043,0.0,0.000695388,0.0,0.0,0.000347694,0.0,0.000189651,0.025255239
150,19,49,0.002748551,0.956109083,0.006527808,0.0,0.0,0.0,0.0,8.59e-05,0.007043161,0.0,0.0,0.00098776,0.0,0.000644192,0.025853554
151,20,51,0.003171527,0.964276275,0.000925029,0.0,0.0,0.0,0.0,0.0,0.001497665,0.0,0.0,0.00127742,0.0,0.001101225,0.027750859
152,20,52,0.0030186,0.968482266,0.002041994,0.0,0.0,0.0,0.0,0.0,0.000177565,0.0,0.0,0.0,0.0,0.0,0.026279576
153,21,64,0.004878049,0.969133726,0.0,0.0,0.0,0.000504626,0.0,0.0,0.0,0.0,0.0,0.000168209,0.0,0.0,0.025315391
154,21,65,0.0,0.96996365,0.0,0.0,0.0,0.001033097,0.0,0.0,0.000918309,0.0,0.000497417,0.001224412,0.0,0.000459154,0.02590396
155,21,66,0.006648575,0.965400271,0.0,0.0,0.0,0.002985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024966079
156,21,67,0.003402734,0.968164254,0.0,0.0,0.0,0.001326489,0.0,0.0,0.0,0.0,0.00017302,0.0,0.0,0.0,0.026933503
